TGS2600,TGS2603,TGS2602,TGS2620,TGS832A,Label
16.0,33.0,18.0,13.0,71.0,Breath
16.0,33.0,17.0,11.0,68.0,Breath
16.0,32.0,17.0,10.0,64.0,Breath
16.0,31.0,17.0,10.0,61.0,Breath
15.0,30.0,16.0,15.0,61.0,Breath
15.0,30.0,16.0,25.0,64.0,Breath
15.0,29.0,15.0,25.0,67.0,Breath
16.0,29.0,15.0,22.0,69.0,Breath
16.0,29.0,15.0,17.0,67.0,Breath
16.0,29.0,15.0,14.0,64.0,Breath
15.0,28.0,14.0,13.0,61.0,Breath
15.0,27.0,14.0,11.0,58.0,Breath
15.0,27.0,14.0,11.0,55.0,Breath
15.0,27.0,15.0,18.0,56.0,Breath
15.0,28.0,16.0,25.0,63.0,Breath
16.0,29.0,16.0,27.0,71.0,Breath
16.0,29.0,17.0,23.0,74.0,Breath
16.0,29.0,16.0,19.0,72.0,Breath
16.0,29.0,16.0,20.0,71.0,Breath
16.0,29.0,17.0,18.0,72.0,Breath
16.0,29.0,16.0,16.0,70.0,Breath
16.0,29.0,16.0,14.0,67.0,Breath
16.0,29.0,16.0,14.0,65.0,Breath
16.0,29.0,16.0,14.0,62.0,Breath
16.0,29.0,16.0,13.0,59.0,Breath
16.0,29.0,16.0,12.0,57.0,Breath
16.0,30.0,16.0,13.0,55.0,Breath
16.0,30.0,16.0,14.0,53.0,Breath
16.0,30.0,16.0,15.0,51.0,Breath
15.0,30.0,16.0,13.0,50.0,Breath
15.0,30.0,16.0,12.0,49.0,Breath
15.0,31.0,16.0,11.0,47.0,Breath
15.0,33.0,16.0,11.0,46.0,Breath
15.0,35.0,17.0,11.0,45.0,Breath
15.0,35.0,16.0,11.0,46.0,Breath
15.0,35.0,16.0,11.0,46.0,Breath
15.0,35.0,16.0,11.0,45.0,Breath
15.0,35.0,16.0,11.0,45.0,Breath
15.0,34.0,16.0,10.0,44.0,Breath
15.0,34.0,16.0,10.0,44.0,Breath
15.0,34.0,16.0,10.0,43.0,Breath
15.0,36.0,16.0,10.0,43.0,Breath
18.0,38.0,17.0,10.0,44.0,Breath
20.0,40.0,18.0,10.0,45.0,Breath
21.0,42.0,18.0,10.0,48.0,Breath
22.0,43.0,18.0,10.0,49.0,Breath
23.0,43.0,18.0,9.0,50.0,Breath
23.0,42.0,18.0,9.0,50.0,Breath
23.0,42.0,18.0,9.0,49.0,Breath
22.0,41.0,18.0,8.0,48.0,Breath
